Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
圣诞回馈,Christmas Returns,Event,2025圣诞节累充活动 | 2025 Christmas Cumulative Top-up Event,,聖誕回饋,크리스마스 리워드,Xmas還元,Julen återvänder,Gwiazdkowe Zyski,Kerstmis is terug,Kembalinya Natal,Vuelve la Navidad,Noel Dönüşü,Giáng Sinh Trở Lại,Retours de Noël,Weihnachtsrückkehr,Ritorna il Natale,Рождество возвращается,Retribuição Natalina,ตอบแทนวันคริสต์มาส,Krismas Kembali Lagi,عودة عيد الميلاد
圣诞冒险季限时特惠,Christmas Adventure Season Limited‑Time Offer,Name,2025圣诞节特惠礼包 | 2025 Christmas Special Pack,,聖誕冒險季限時優惠,크리스마스 모험 시즌 한정 특가,クリスマス冒険シーズン限定セール,Tidsbegränsat erbjudande för Juläventyrets säsong,Czas Gwiazdkowych Przygód – oferta limitowana czasowo,Exclusieve aanbieding voor ’Kerstavontuurseizoen’,Penawaran Waktu Terbatas Musim Petualangan Natal,Oferta por tiempo limitado de la Temporada de Aventura navideña,Noel Macerası Sezonu Sınırlı Süreli Fırsat,Ưu Đãi Có Thời Hạn Mùa Cuộc Phiêu Lưu Giáng Sinh,Offre saisonnière - Aventures de Noël (durée limitée),Weihnachtsabenteuer – Saisonal begrenztes Angebot,Offerta a tempo limitato Stagione Avventura di Natale,Сезон рождественских приключений: временная акция,Oferta por Tempo Limitado da Temporada da Aventura de Natal,ข้อเสนอจำกัดเวลาสำหรับฤดูกาลการผจญภัยวันคริสต์มาส,Tawaran Masa Terhad Musim Pengembaraan Krismas,عرض لفترة محدودة لموسم مغامرة عيد الميلاد
铁腕镇压,Ironfist Suppression,Skill,辉德的太空战（SLG）被动技能2（官威逼人迭代） | Phade's Space Combat (SLG) Passive Ability 2 (Updated from Aggressive Stance),,鐵腕鎮壓,철권 진압,強硬な鎮圧,Järnnävens undertryckning,Stanowcza pacyfikacja,IJzervuist-onderdrukking,Supresi Tangan Besi,Supresión Puño de hierro,Demir Yumruk Baskını,Tay Sắt Trấn Áp,Répression de fer,Eisenfaust-Unterdrückung,Repressione del pugno di ferro,Подавление железной рукой,Supressão Implacável,กดข่มด้วยหมัดเหล็ก,Penindasan Tumbukan Besi,القمع بالقبضة الحديدية
礼物保卫战,Gift Defense,Event,2025圣诞节塔防活动 | 2025 Christmas Tower-Defense Event,,禮物保衛戰,선물 방어전,ギフトディフェンス,Klappförsvar,Obrona Prezentu,Cadeauverdediging,Perlindungan Kado,Defensa del regalo,Hediye Muhafazası,Phòng Thủ Quà Tặng,Défense des cadeaux,Geschenkverteidigung,Difesa dei doni,Защита подарков,Defesa dos Presentes,ปกป้องของขวัญ,Pertahanan Hadiah,الدفاع عن الهدايا
移速,Move Speed,Name,Buff,,移速,이동속도,移動速度,Rörelsehastighet,Prędkość ruchu,Snelheid,Kecepatan Gerak,Vel. movimiento,Hareket Hızı,Tốc Độ Di Chuyển,Mobilité,Bewegungstempo,Vel. movimento,Скор. движ.,Movimento,ความเร็วการเคลื่อนที่,Kelajuan Gerakan,سرعة الحركة
暴击率,Crit Rate,Name,Buff,,爆擊率,크리티컬 확률,クリティカル率,Krit-chans,Współczynnik traf. kryt.,Crit-kans,Crit Rate,Tasa de crít.,Kritik Oranı,Tỷ Lệ Chí Mạng,Taux de critiques,Krit-Quote,Tasso Critico,Шанс крита,Taxa de Crítico,อัตราคริติคอล,Kadar Kritikal,معدّل الضربة الحرجة
暴击伤害,Crit DMG,Name,Buff,,爆擊傷害,크리티컬 피해,クリティカルダメージ,Krit-skada,Obrażenia kryt.,Crit-schade,Crit Damage,Daño crít.,Kritik Hasar,Sát Thương Chí Mạng,Dégâts critiques,Krit-Schaden,Danno Critico,Крит. урон,Dano Crítico,ความเสียหายคริติคอล,Kerosakan Kritikal,ضرر الضربة الحرجة
主动技能,Active Ability,Name,Buff,,主動技能,액티브 스킬,アクティブスキル,Aktiv förmåga,Umiejętność aktywna,Actieve skill,Skill Aktif,Habilidad activa,Aktif Yetenek,Kỹ Năng Chủ Động,Capacité active,Aktive Fähigkeit,Abilità attiva,Активная способность,Habilidade Ativa,ทักษะกดใช้,Keupayaan Aktif,القدرة النشطة
额外金币,Bonus Gold,Name,Buff,,額外金幣,추가 골드,ボーナス金貨,Bonusguld,Bonusowe złoto,Bonusgoud,Emas Bonus,Oro adicional,Bonus Altın,Vàng Thưởng,Bonus d'or,Bonusgold,Oro bonus,Бонусное золото,Bônus de Ouro,ทองโบนัส,Emas Bonus,ذهب إضافي
金币伤害,Gold DMG,Name,Buff,,金幣傷害,골드 피해,金貨ダメージ,Guld-SKD,Złote obr.,Goud-schade,DMG Emas,DÑO de oro,Altın Hasarı,Sát Thương Vàng,DGT basés sur l'or,Gold-SCH,DAN oro,Урон золотом,Dano de Ouro,DMG ทอง,Kerosakan Emas,ضرر الذهب
金币暴击,Gold Crit,Name,Buff,,金幣暴擊,골드 크리티컬,金貨クリティカル,Guld-krit,Złote traf. kryt.,Goud-crit,Crit Emas,Crít. de oro,Altın Kritiği,Chí Mạng Vàng,Crit. basé sur l'or,Gold-Krit.,Critico oro,Крит золотом,Crítico de Ouro,คริติคอลทอง,Kritikal Emas,الضربة الحرجة بالذهب
范围减速,Area Slow,Name,Buff,,範圍減速,범위 감속,範囲スロウ,Nedsaktat område,Spowolnienie obszarowe,Gebiedvertraging,Slow Area,Ralentización de área,Alan Yavaşlatma,Làm Chậm Khu Vực,Ralentissement de zone,Flächenverlangs.,Rallentamento ad area,Замедление в зоне действия,Área Lenta,พื้นที่เชื่องช้า,Perlahan Kawasan,منطقة بطيئة
普攻减速,Basic Attack Slow,Name,Buff,,普攻減速,일반 공격 감속,通常攻撃スロウ,Nedsaktad enkel attack,Spowolnienie podst. ataku,Basisaanvalvertraging,Slow Serangan Dasar,Ralentización de ataque básico,Temel Saldırı Yavaşlatma,Làm Chậm Đòn Đánh Cơ Bản,Ralentissement de l'attaque de base,Angriffsverlangs.,Rallentamento att. base,Замедление обычной атаки,Ataque Básico Lento,การโจมตีพื้นฐานเชื่องช้า,Perlahan Serangan Asas,تباطؤ الهجوم الأساسي
普攻回能,Energy on Basic Attack,Name,Buff,,普攻回能,일반 공격 시 에너지 회복,通常攻撃でエネルギー回復,Energi vid enkel attack,Energia za podst. atak,Energie bij basisaanval,Energi pada Serangan Dasar,Energía en ataque básico,Temel Saldırıda Enerji,Nhận Năng Lượng Khi Đánh Cơ Bản,Récup. d'énergie (attaques de base),Energie bei Angriff,Energia da attacco base,Энергия за обычную атаку,Ataque Energético,พลังงานในการโจมตีพื้นฐาน,Tenaga pada Serangan Asas,الطاقة عند الهجوم الأساسي
击杀回能,Energy on Kill,Name,Buff,,擊殺回能,처치 시 에너지 회복,撃破時エネルギー回復,Energi vid eliminering,Energia za zabójstwo,Energie bij eliminatie,Energi pada Kill,Energía al eliminar,Öldürme Başına Enerji,Nhận Năng Lượng Khi Hạ Gục,Récup. d'énergie (éliminations),Energie bei Kill,Energia da uccisione,Энергия за убийство,Abate Energético,พลังงานเมื่อสังหาร,Tenaga pada Pembunuhan,الطاقة عند القتل
动能伤害,Kinetic DMG,Name,Buff,,動能傷害,키네틱 피해,実弾ダメージ,Kinetisk SKD,Obr. kinetyczne,Kinetische schade,Kinetic DMG,DÑO de cinética,Kinetik HSR,Sát Thương Động Năng,DGT cinétiques,Kinetikschaden,DAN cinetico,Кинет. урон,Dano Cinético,DMG คิเนติก,Kerosakan Kinetik,الضرر الحركي
动能暴击伤害,Kinetic Crit DMG,Name,Buff,,動能爆擊傷害,키네틱 크리티컬 피해,実弾クリティカルダメージ,Kinetisk krit-SKD,Kinetyczne obr. kryt.,Kinetische crit-schade,Kinetic Crit DMG,DÑO crít. de cinética,Kinetik Kritik HSR,Sát Thương Chí Mạng Động Năng,DGT crit. cinétiques,Kinetik-Krit-SCH,DAN Crit. cinetico,Кинет. крит. урон,Dano Crítico Cinético,DMG คริติคอลคิเนติก,Kerosakan Kritikal Kinetik,ضرر الضربة الحرجة الحركية
光束伤害,Beam DMG,Name,Buff,,光束傷害,빔 피해,ビームダメージ,Strål-SKD,Obr. laserowe,Straalschade,Beam DMG,DÑO de rayo,Işın HSR,Sát Thương Quang Tiễn,DGT à faisceau,Strahlen-SCH,DAN raggio,Фотонный урон,Dano de Rajada,DMG ลำแสง,Kerosakan Pancaran,ضرر الشعاع
光束暴击伤害,Beam Crit DMG,Name,Buff,,光束爆擊傷害,빔 크리티컬 피해,ビームクリティカルダメージ,Strål-krit-SKD,Laserowe obr. kryt.,Straal crit-schade,Beam Crit DMG,DÑO crít. de rayo,Işın Kritik HSR,Sát Thương Chí Mạng Quang Tiễn,DGT crit. à faisceau,Strahlen-Krit-SCH,DAN Crit. raggio,Фотонный крит. урон,Dano Crítico de Rajada,DMG คริติคอลลำแสง,Kerosakan Kritikal Pancaran,ضرر الضربة الحرجة بالشعاع
离子伤害,Ion DMG,Name,Buff,,離子傷害,이온 피해,イオンダメージ,Jon-SKD,Obr. jonowe,Ionschade,Ion DMG,DÑO de ión,İyon HSR,Sát Thương Ion,DGT ioniques,Ionen-SCH,DAN ionico,Ионный урон,Dano Iônico,DMG ไอออน,Kerosakan Ion,ضرر أيوني
离子暴击伤害,Ion Crit DMG,Name,Buff,,離子爆擊傷害,이온 크리티컬 피해,イオンクリティカルダメージ,Jon-krit-SKD,Jonowe obr. kryt.,Ion crit-schade,Ion Crit DMG,DÑO crít. de ión,İyon Kritik HSR,Sát Thương Chí Mạng Ion,DGT crit. ioniques,Ionen-Krit-SCH,DAN Crit. ionico,Ионный крит. урон,Dano Crítico Iônico,DMG คริติคอลไอออน,Kerosakan Kritikal Ion,ضرر الضربة الحرجة الأيونية
超频暴击,Overclock Crit,Name,Buff,,超頻爆擊,오버클럭 크리티컬,オーバークロック,Överklocknings-krit,Przetaktowanie traf. kryt.,Overclock-crit,Overclock Crit,Sobrecarga de crít.,Aşırı Yüklenme Kritik,Chí Mạng Quá Tải,Crit. en surcharge,Übertakt-Krit,Critico overclock,Крит. разгона,Crítico Acelerado,คริติคอลโอเวอร์คล็อก,Kritikal Dipertingkat,تسريع الضربة الحرجة
超频伤害,Overclock Crit DMG,Name,Buff,,超頻傷害,오버클럭 피해,オーバークロックダメージ,Överklocknings-krit-SKD,Przetaktowanie obr. kryt.,Overclock-crit-schade,Overclock Crit DMG,Sobrecarga de DÑO crít.,Aşırı Yüklenme Kritik HSR,Sát Thương Chí Mạng Quá Tải,DGT crit. en surcharge,Übert.-Krit-SCH,DAN Crit. overclock,Крит. урон разгона,Dano Crítico Acelerado,DMG คริติคอลโอเวอร์คล็อก,Kerosakan Kritikal Dipertingkat,تسريع ضرر الضربة الحرجة
额外攻击,Bonus ATK,Name,Buff,,額外攻擊,추가 공격,追加攻撃,Bonus-ANF,Premia do ataku,Bonus-ATK,Bonus ATK,ATQ adicional,Bonus ATK,Tấn Công Cộng Thêm,Bonus d'ATQ,Bonus-ANG,ATT bonus,Бонус к АТК,ATQ Bônus,โบนัส ATK,Serangan Bonus,هجوم إضافي
主动技能伤害,Active Ability DMG,Name,Buff,,主動技能傷害,액티브 스킬 피해,アクティブスキルのダメージ,Aktiv förmåga-SKD,Obr. aktywnej umiejętności,Schade actieve skill,DMG Skill Aktif,DÑO de habilidad activa,Aktif Yetenek HSR,Sát Thương Kỹ Năng Chủ Động,DGT de capacité active,Aktivfähig.-SCH,DAN abilità attiva,Урон активной способности,Dano de Habilidade Ativa,DMG ทักษะกดใช้,Kerosakan Keupayaan Aktif,ضرر القدرة النشطة
主动技能暴击,Active Ability Crit,Name,Buff,,主動技能暴擊,액티브 스킬 크리티컬,アクティブスキルクリ率,Aktiv förmåga-krit,Traf. kryt. aktywnej umiejętności,Crit actieve skill,Crit Skill Aktif,Crít. de habilidad activa,Aktif Yetenek KRİ,Chí Mạng Kỹ Năng Chủ Động,Crit. de capacité active,Aktivfähig.-KRIT,Critico abilità attiva,Крит. урон активной способности,Crítico de Habilidade Ativa,คริติคอลทักษะกดใช้,Kritikal Keupayaan Aktif,ضربة حرجة من القدرة النشطة
霍莉·妮可,Holly Nico,Name,2025 圣诞船员 | 2025 Christmas Crew Member,,霍莉·妮可,홀리·니콜,ホリー・ニコ,Holly Nico,Święty Nico,Holly Nico,Holly Nico,Holly Nico,Holly Nico,Holly Nico,Holly Nico,Holly Nico,Holly Nico,Холли Нико,Holly Nico,ฮอลลี นิโค,Holly Nico,هولي نيكو
霍莉,Holly,Name,2025 圣诞船员霍莉·妮可 | 2025 Christmas Crew Member Holly Nico,,霍莉,홀리,ホリー,Holly,Święty,Holly,Holly,Holly,Holly,Holly,Holly,Holly,Holly,Холли,Holly,ฮอลลี,Holly,هولي
百变圣诞,Christmas Makeover,Skill,2025 圣诞船员霍莉·妮可技能 | 2025 Christmas Crew Member Holly Nico's Skill,,百變聖誕,홀리데이 변신술,変幻クリスマス,Julig makeover,Świąteczna metamorfoza,Kerst-makeover,Dekor Ulang Natal,Cambio de imagen navideño,Noel Değişimi,Trang Hoàng Giáng Sinh,Relooking de Noël,Weihnachtsdekoration,Rinnovo natalizio,Рождественское преображение,Transformação de Natal,แปลงโฉมต้อนรับคริสต์มาส,Ubah Rupa Krismas,تجديد عيد الميلاد
霍莉·妮可的誓约晶体,Holly Nico's Oath Crystal,Item,,,霍莉·妮可的誓約晶體,홀리·니콜의 약속의 결정,ホリー・ニコの誓約の結晶,Holly Nicos edkristall,Kryształ przysięgi: Święty Nico,Eedkristal van Holly Nico,Oath Crystal Holly Nico,Cristal de juramento de Holly Nico,Holly Nico'nun Yemin Kristali,Tinh Thể Thệ Ước Của Holly Nico,Cristal d'allégeance de Holly Nico,Eidkristall von Holly Nico,Cristallo del giuramento di Holly Nico,Кристалл клятвы (Холли Нико),Cristal de Juramento de Holly Nico,คริสตัลคำสาบานของฮอลลี นิโค,Kristal Sumpah Holly Nico,بلورة عهد هولي نيكو
星辰招募,Starry Recruitment,Event,典藏英雄超募卡池活动 | Limited Champion Draw Event,,星辰招募,별빛 모집,星辰募集,Stjärnklar rekrytering,Gwiezdna rekrutacja,Sterrenwerving,Rekrutmen Bintang,Reclutamiento estelar,Yıldızlı İşe Alım,Chiêu Mộ Sao Sáng,Recrutement stellaire,Sternenrekrutierung,Reclutamento stellare,Звездная вербовка,Recrutamento Estrelado,การสรรหาแห่งดวงดาว,Perekrutan Bintang,توظيف النجوم
无尽宝箱,Infinity Chest,Bundle,,,無盡寶箱,무한 보물상자,インフィニティBOX,Evighetskista,Skrzynia nieskończoności,Oneindigheidskist,Peti Infinity,Cofre infinito,Sonsuzluk Sandığı,Rương Vô Cực,Coffre de l'infini,Unendlichkeitstruhe,Forziere infinito,Кейс бесконечности,Baú do Infinito,หีบอนันต์,Peti Infiniti,صندوق الأبدية
重整旗鼓,Rally Up,Name,Buff,,重整旗鼓,전투 재정비,復活保護,Ostoppbar återvändo,Powrót nie do zatrzymania,Onstuitbare terugkeer,Kepulangan yang Tak Terhentikan,Regreso imparable,Durdurulamaz Dönüş,Sự Trở Lại Vô Song,Retour inéluctable,Unaufhaltsame Rückkehr,Ritorno inarrestabile,Мощное возвращение,Retorno Inevitável,การหวนคืนไม่ดับสูญ,Pemulangan Selamat,عودة لا يمكن إيقافها
星际庇护,Interstellar Shelter,Name,Buff,,星際庇護,인터스텔라 실드,スターシェルター,Stjärnskydd,Schronienie międzygwiezdne,Interstellaire bescherming,Perlindungan Antarbintang,Refugio interestelar,Yıldızlararası Sığınak,Bảo Hộ Liên Sao,Refuge interstellaire,Interstellarer Schutz,Rifugio interstellare,Звездная защита,Abrigo Interestelar,ที่พักพิงกลางอวกาศ,Pelindung Antara Bintang,ملجأ بين النجوم
新年超值礼,New Year Great Deal,Bundle,2026 新年礼包 | 2026 New Year Pack,,新年超值大禮,새해 초대박 패키지,新年特別パック,Stort nyårserbjudande,Świetna oferta noworoczna,Geweldige nieuwjaarsdeal,Tawaran Menarik Tahun Baru,Gran oferta de Año Nuevo,Büyük Yılbaşı Fırsatı,Ưu Đãi Siêu Hời Mừng Năm Mới,Bonne affaire du nouvel an,Neujahrsangebot,Offerte speciali per il nuovo anno,Скидки на Новый Год,Grande Oferta de Ano Novo,ข้อเสนอสุดคุ้มรับปีใหม่,Tawaran Hebat Tahun Baharu,صفقة العام الجديد الكبرى
新年礼匣,New Year Gift Chest,Bundle,2026 新年礼盒 | 2026 New Year Chest,,新年禮匣,새해 선물 상자,新年ギフトBOX,Nyårets presentkista,Skrzynia z prezentem noworocznym,Nieuwjaarscadeaukist,Peti Hadiah Tahun Baru,Cofre de regalo de Año Nuevo,Yılbaşı Hediye Sandığı,Rương Quà Tặng năm Mới,Coffre cadeau du nouvel an,Neujahrs-Geschenktruhe,Forziere regalo per il nuovo anno,Новогодний кейс с подарками,Baú de Presente de Ano Novo,หีบของขวัญปีใหม่,Peti Hadiah Tahun Baharu,صندوق هدية العام الجديد
新年红包,New Year Bounty,Bundle,2026 新年红包 | 2026 New Year Bounty,,新年紅包,새해 보상,新年ギフト,Nyårsskatt,Nagroda noworoczna,Nieuwjaarspremie,Imbalan Tahun Baru,Recompensa de Año Nuevo,Yılbaşı Ödülü,Bao Lì Xì Năm Mới,Prime du nouvel an,Neujahrsgabe,Ricompensa per il nuovo anno,Новогодняя награда,Prêmio de Ano Novo,ค่าหัวปีใหม่,Ganjaran Tahun Baharu,مكافأة العام الجديد
启程红包,Bon Voyage Bounty,Bundle,,,啟程紅包,여정 보상,旅立ちギフト,Bon voyage-skatt,Nagroda szczęśliwej podróży,Goede-reispremie,Imbalan Bon Voyage,Recompensa de Bon Voyage,Yolun Açık Olsun Ödülü,Bao Lì Xì Thượng Lộ Bình An,Prime de Bon voyage,Aufbruchs-Gabe,Ricompensa di buon viaggio,Награда путешественника,Prêmio de Boa Viagem,ค่าหัวเดินทางปลอดภัย,Ganjaran Pengembaraan Baharu,مكافآت رحلة سعيدة
行商征服者,Trader Conqueror,Name,KvK 头衔 | KvK Title,,行商征服者,트레이더 정복자,商団征服者,Handlarnas erövrare,Handlarz-zdobywca,Handelaar-veroveraar,Penakluk Trader,Conquistador comerciante,Tüccar Fatihi,Viễn Thương Chinh Phạt Gia,Commerçant conquérant,Händler-Eroberer,Conquistatore mercante,Торговец-завоеватель,Negociante Conquistador,ผู้พิชิตแห่งการค้า,Penakluk Pedagang,التاجر الفاتح
行政总领,Chief Administrator,Name,KvK 头衔 | KvK Title,,行政總領,행정 총괄,行政総督,Chefsadministratör,Główny zarządca,Hoofdbestuurder,Kepala Administrator,Administrador jefe,Baş Yönetici,Trưởng Quan Quản Trị,Administrateur en chef,Verwaltungschef,Capo amministratore,Главный администратор,Administrador Chefe,หัวหน้าผู้ดูแล,Ketua Pentadbir,الزعيم المسؤول
军事总领,Chief Military Officer,Name,KvK 头衔 | KvK Title,,軍事總領,군사 총사령,軍事総監,Chefsbefäl,Naczelny dowódca,Militaire hoofdofficier,Kepala Pejabat Militer,Jefe militar,Baş Askeri Subay,Trưởng Quan Quân Sự,Chef militaire,Militärchef,Primo ufficiale militare,Главный офицер,Oficial Militar Chefe,หัวหน้าเจ้าหน้าที่ฝ่ายทหาร,Ketua Pegawai Tentera,كبير الضباط العسكريين
财政总领,Chief Financial Officer,Name,KvK 头衔 | KvK Title,,財政總領,재정 총괄,財政総督,Finanschef,Dyrektor finansowy,Financiële hoofdofficier,Kepala Pejabat Finansial,Director financiero,Baş Mali İşler Sorumlusu,Trưởng Quan Tài Chính,Directeur financier,Finanzchef,Primo ufficiale finanziario,Главный финансист,Oficial Financeiro Chefe,หัวหน้าเจ้าหน้าที่ฝ่ายการเงิน,Ketua Pegawai Kewangan,كبير مسؤولي الشؤون المالية
鏖战之冠,Crown of Relentless Battle,Decoration,头像框 | Frame,,鏖戰之冠,격전의 왕관,激戦の冠,Outtröttliga stridens krona,Korona nieustannej bitwy,Kroon van meedogenloze strijd,Crown of Relentless Battle,Corona de batalla implacable,Amansız Savaş Tacı,Vương Miện Huyết Chiến,Couronne de la bataille acharnée,Unerbittliche Kriegskrone,Corona della battaglia incessante,Корона свирепой битвы,Coroa da Batalha Implacável,มงกุฎแห่งศึกไม่อาจหยุดยั้ง,Mahkota Pertempuran Tanpa Henti,تاج المعركة الضارية
鏖战之铳,Cannon of Relentless Battle,Accolade,铭牌 | Nametag,,鏖戰之銃,무한 격전포,激戦の砲,Outtröttliga stridens kanon,Działo nieustannej bitwy,Kanon van meedogenloze strijd,Cannon of Relentless Battle,Cañón de batalla implacable,Amansız Savaş Topu,Pháo Huyết Chiến,Canon de la bataille acharnée,Unerbittliche Kriegskanone,Cannone della battaglia incessante,Орудие свирепой битвы,Canhão da Batalha Implacável,ปืนใหญ่แห่งศึกไม่อาจหยุดยั้ง,Meriam Pertempuran Tanpa Henti,مدفع المعركة الضارية
鏖战宝箱,Relentless Battle Chest,Bundle,,,鏖戰寶箱,격전의 보물상자,激戦BOX,Outtröttliga stridens kista,Skrzynia nieustannej bitwy,Kist van meedogenloze strijd,Peti Relentless Battle,Cofre de batalla implacable,Amansız Savaş Sandığı,Rương Huyết Chiến,Coffre de la bataille acharnée,Unerbittliche Kriegstruhe,Forziere battaglia incessante,Кейс свирепой битвы,Baú da Batalha Implacável,หีบศึกไม่อาจหยุดยั้ง,Peti Pertempuran Tanpa Henti,صندوق المعركة الضارية
深空信标,Deep Space Beacon,Name,招募活动名称 | Recruitment Event,,深空信標,딥스페이스 신호기,深宇宙ビーコン,Djuprymdsändare,Nadajnik kosmiczny,Baken in de diepe ruimte,Suar Angkasa Jauh,Baliza del espacio profundo,Derin Uzay Feneri,Đài Tín Hiệu Vũ Trụ Sâu Thẳm,Balise cosmique,Weltraumleuchtfeuer,Faro dello spazio profondo,Маячок глубокого космоса,Farol do Espaço Profundo,สัญญาณประกาศห้วงอวกาศลึก,Suar Angkasa Jauh,منارة الفضاء العميق
随机深空信标宝箱,Random Deep Space Beacon Chest,Bundle,,,隨機深空信標寶箱,랜덤 딥스페이스 신호기 보물상자,ランダム深宇宙ビーコンBOX,Slumpmässig djuprymdsändarkista,Losowa skrzynia nadajników kosmicznych,Kist met willekeurige baken in de diepe ruimte,Peti Suar Angkasa Jauh Acak,Cofre de balizas aleatorias del espacio profundo,Rastgele Derin Uzay Feneri Sandığı,Rương Đài Tín Hiệu Vũ Trụ Sâu Thẳm Ngẫu Nhiên,Coffre de balises cosmiques (aléatoire),Zufällige Weltraumleuchtfeuer-Truhe,Forziere Faro dello spazio profondo casuale,Кейс с маячками глубокого космоса,Baú Aleatório de Farol do Espaço Profundo,หีบสัญญาณประกาศห้วงอวกาศลึกแบบสุ่ม,Peti Suar Angkasa Jauh Rawak,صندوق منارة الفضاء العميق العشوائية
回响枢纽,Echo Hub,Name,可任命英杰船员 | Assign Heroic Crew Member Here,,迴響樞紐,에코 허브,エコーハブ,Ekohubb,Koncentrator echa,Echo-hub,Hub Echo,Centro de Eco,Yankı Merkezi,Tâm Dư Âm,Hub des Échos,Echo-Nexus,Centro dell'eco,Хаб отголосков,Central de Eco,ศูนย์เสียงสะท้อน,Hab Gema,مركز الصدى
最强战区,Dominion Warzone,Name,KvK 活动 | KvK Event,,最強戰區,최강 전투 구역,最強戦区,Herraväldets krigszon,Strefa Dominacji,Dominion-oorlogszone,Zona Perang Dominion,Zona de guerra del dominio,Hâkimiyet Savaş Alanı,Chiến Trường Lãnh Địa,Suprématie,Dominion-Kriegszone,Zona di guerra del dominio,Военная зона господства,Zona de Guerra do Domínio,เขตสงครามเจ้าผู้ปกครอง,Zon Perang Dominion,منطقة حرب السيادة المشعة
跨界远征,Interrealm Expedition,Name,KvK 活动 | KvK Event,,跨界遠征,크로스 오버 원정,越境遠征,Expedition mellan världar,Wyprawa Międzyświatowa,Interrealm-expeditie,Ekspedisi Antardunia,Expedición Interreinos,Diyarlar Arası Keşif,Viễn Chinh Liên Giới,Expédition inter-royaumes,Zwischenreich-Expedition,Spedizione intermondi,Экспедиция по мирам,Expedição Transfronteiriça,การสำรวจข้ามแดน,Ekspedisi Antara Alam,رحلة استكشافية بين العوالم
卫戍要塞,Garrison Stronghold,Name,KvK 活动 | KvK Event,,衛戍要塞,수비 요새,守備要塞,Garnisonsfästning,Twierdza garnizonowa,Garnizoensvesting,Markas Garnisun,Fuerte de guarnición,Garnizon Kalesi,Cứ Điểm Đồn Trú,Bastion,Garnisonsstützpunkt,Roccaforte della guarnigione,Крепость гарнизона,Fortaleza de Guarnição,ฐานที่มั่นรักษาการณ์,Kubu Garison,معقل الحامية
星图寻觅,Map Search,Name,活动名称 | Event,,星圖尋覓,별지도 탐색,星系マップ探索,Kartsökning,Poszukiwanie mapy,Op kaart zoeken,Pencarian Peta,Búsqueda de mapa,Harita Taraması,Tìm Trên Bản Đồ,Quête de la carte,Kartensuche,Ricerca sulla mappa,Поиск сокровищ,Busca no Mapa,การค้นหาแผนที่,Carian Peta,البحث في الخريطة
芮奇谢顿的时光星图,Raych Seldon's Chrono Map,Item,,,芮奇謝頓的時光星圖,레이지 셀던의 시간의 별지도,レイチ・セルダンのクロノマップ,Raych Seldons kronokarta,Mapa czasu Raycha Seldona,Raych Seldons chrono-kaart,Peta Chrono Raych Seldon,Mapa cronológico de Raych Seldon,Raych Seldon'un Krono Haritası,Bản Đồ Thời Gian của Raych Seldon,Carte temporelle de Raych Seldon,Raych Seldons Chrono-Karte,Cronomappa di Raych Seldon,Хронокарта (Рейч Селдон),Mapa Cronológico de Raych Seldon,แผนที่กาลเวลาของเรย์ช เซลดอน,Peta Bintang Krono Raych Seldon,الخريطة الزمنية لرايتش سيلدون
群星残卷自选宝箱-芮奇,Stellar Fragment Choice Chest - Raych,Bundle,,,群星殘卷自選寶箱-芮奇,별무리 기록 조각 선택 보물상자 - 레이지,星々のかけら選択BOX・レイチ,Valkista med stjärnfragment – Raych,Skrzynia z gwiezdnymi fragmentami – Raych,Kist met stellaire fragmenten - Raych,Peti Pilihan Fragmen Bintang - Raych,Cofre de selección de Fragmento estelar: Raych,Yıldız Parçası Seçim Sandığı - Raych,Rương Chọn Mảnh Tinh Tú – Raych,Coffre de fragments stellaires (choix) - Raych,Sternfragment-Auswahltruhe – Raych,Forziere scelta di frammenti stellari - Raych,Кейс выбора: звездный фрагмент — Рейч,Baú de Escolha de Fragmento Estelar - Raych,หีบเลือกชิ้นส่วนดวงดาว - เรย์ช,Peti Pilihan Serpihan Najam - Raych,صندوق اختيارات الأجزاء النجمية - رايتش
群星残卷随机宝箱-芮奇,Stellar Fragment Random Chest - Raych,Bundle,,,群星殘卷隨機寶箱-芮奇,별무리 기록 조각 랜덤 보물상자 - 레이지,星々のかけらランダムBOX・レイチ,Slumpkista med stjärnfragment – Raych,Skrzynia z losowymi gwiezdnymi fragmentami – Raych,Kist met willekeurige stellaire fragmenten - Raych,Peti Acak Fragmen Bintang - Raych,Cofre aleatorio de Fragmento estelar: Raych,Yıldız Parçası Rastgele Sandığı - Raych,Rương Mảnh Tinh Tú Ngẫu Nhiên – Raych,Coffre de fragments stellaires (aléatoire) - Raych,Sternfragment-Zufallstruhe – Raych,Forziere casuale di frammenti stellari - Raych,Случайный кейс: звездный фрагмент — Рейч,Baú Aleatório de Fragmento Estelar - Raych,หีบแบบสุ่มชิ้นส่วนดวงดาว - เรย์ช,Peti Rawak Serpihan Najam - Raych,الصندوق العشوائي للجزء النجمي: رايتش
